Date,Open,High,Low,Close,Volume
2022-01-04,20227.61,20227.61,19907.92,19995.11,8932165
2022-01-05,19966.05,19966.05,19559.17,19588.23,11306548
2022-01-06,19471.99,19762.61,19239.48,19617.3,12369838
2022-01-07,19704.49,19733.55,19355.73,19355.73,16356680
2022-01-10,19181.36,19413.86,19152.3,19181.36,15638726
2022-01-11,19181.36,19210.42,19006.98,19036.04,13244010
2022-01-12,19006.98,19501.05,18919.79,19239.48,15119927
2022-01-13,19559.17,19907.93,19268.55,19384.8,12682443
2022-01-14,19384.8,19442.92,19181.36,19210.42,5774365
2022-01-17,19239.48,19559.17,19036.04,19036.04,27994100
2022-01-18,19036.05,19210.42,18774.48,19065.11,8579057
2022-01-19,19065.11,19355.74,19065.11,19181.36,5372986
2022-01-20,19181.36,19268.55,19006.98,19152.29,6812361
2022-01-21,19152.3,19762.61,19123.23,19442.92,23343777
2022-01-24,19471.99,20285.74,19471.99,19966.05,23368078
2022-01-25,19966.05,20372.93,19966.05,20256.68,7582388
2022-01-26,20343.87,20896.06,20343.87,20605.43,15543176
2022-01-27,20576.37,20576.37,20082.3,20285.74,11306382
2022-01-28,20285.74,20343.87,19995.11,20082.3,31050811
2022-02-07,20343.87,20431.05,20140.43,20169.49,9102363
2022-02-08,20169.49,20925.12,20169.49,20779.8,54039333
2022-02-09,20866.99,20896.05,20634.49,20692.62,19245184
2022-02-10,20692.62,20808.87,20547.3,20663.55,24791121
2022-02-11,20518.24,21128.56,20489.18,20750.74,16404290
2022-02-14,20576.37,20692.62,19762.61,19762.61,22856270
2022-02-15,19791.68,20053.24,19762.61,20053.24,19083509
2022-02-16,20169.49,20169.49,19762.61,19878.86,9135664
2022-02-17,19849.8,20024.18,19820.74,19936.99,7850028
2022-02-18,19820.74,19907.92,19588.23,19675.42,18833061
2022-02-21,19704.49,19995.11,19501.05,19995.11,14692809
2022-02-22,19762.61,20169.49,19530.11,20169.49,14266798
2022-02-23,20227.61,20401.99,20111.36,20111.36,11665441
2022-02-24,19966.05,20111.36,19442.92,20024.18,15192548
2022-02-25,20053.24,20198.55,19936.99,19966.05,10523628
2022-02-28,19936.99,19966.05,19704.49,19704.49,8717630
2022-03-01,19762.61,19762.61,19501.05,19675.42,9749138
2022-03-02,19588.23,19762.61,19123.23,19123.23,23111844
2022-03-03,19181.36,19442.92,19123.23,19442.92,13500410
2022-03-04,19413.86,19936.99,19181.36,19936.99,11444915
2022-03-07,19471.98,19646.36,19268.55,19326.67,7760594
2022-03-08,19181.36,19297.61,18919.79,18948.86,12125505
2022-03-09,19036.05,19152.3,18832.61,19006.98,6896837
2022-03-10,19181.36,19413.86,19123.23,19123.23,4630072
2022-03-11,19065.11,19152.3,18948.86,19006.98,5215940
2022-03-14,18890.73,19065.11,18861.67,19006.98,7240687
2022-03-15,19065.11,19268.55,19006.98,19065.11,6672342
2022-03-16,19123.23,19210.42,18977.92,19065.11,5851070
2022-03-17,19268.55,19297.61,19065.11,19065.11,6054405
2022-03-18,19181.36,19239.48,19065.11,19065.11,9940901
2022-03-21,19123.23,19181.36,19006.98,19152.29,8934148
2022-03-22,19181.36,19413.86,19181.36,19355.73,9226751
2022-03-23,19297.61,19413.86,19268.55,19297.61,11863692
2022-03-24,19210.42,19297.61,19094.17,19123.23,5357611
2022-03-25,19123.23,19268.55,19006.98,19006.98,9059717
2022-03-28,19006.98,19065.11,18774.48,18803.54,15002935
2022-03-29,18861.67,18977.92,18774.48,18803.54,7588902
