Date,Open,High,Low,Close,Volume
2016-01-04,4001.12,4028.62,3959.87,3959.87,2942122
2016-01-05,3946.12,3973.62,3918.62,3918.62,4572945
2016-01-06,3918.62,3987.37,3918.62,3987.37,6548715
2016-01-07,3932.37,3946.12,3863.62,3877.37,7928469
2016-01-08,3808.63,3863.62,3781.13,3808.63,6749161
2016-01-11,3836.12,3836.12,3794.88,3808.63,3856992
2016-01-12,3794.88,3863.62,3794.88,3849.87,2498548
2016-01-13,3863.62,3863.62,3781.13,3781.13,4983064
2016-01-14,3767.38,3767.38,3629.88,3643.63,10762672
2016-01-15,3643.63,3657.38,3478.64,3506.14,15995930
2016-01-18,3313.64,3423.64,3286.14,3409.89,21077556
2016-01-19,3423.64,3506.14,3409.89,3464.89,17940215
2016-01-20,3451.14,3506.14,3396.14,3464.89,16976767
2016-01-21,3409.89,3506.14,3409.89,3506.14,20680593
2016-01-22,3519.88,3561.13,3478.64,3519.88,22220721
2016-01-25,3574.88,3753.63,3574.88,3739.88,9010178
2016-01-26,3643.63,3726.13,3616.13,3629.88,10435460
2016-01-27,3671.13,3712.38,3657.38,3684.88,10315604
2016-01-28,3698.63,3739.88,3643.63,3643.63,5659378
2016-01-29,3671.13,3781.13,3643.63,3781.13,6254960
2016-02-01,3781.13,3849.87,3671.13,3671.13,6224488
2016-02-02,3643.63,3698.63,3629.88,3684.88,2106170
2016-02-03,3629.88,3698.63,3616.13,3684.88,10417933
2016-02-04,3698.63,3726.13,3698.63,3712.38,1289637
2016-02-05,3712.38,3739.88,3684.88,3712.38,1134430
2016-02-15,3712.38,3712.38,3574.88,3629.88,7517474
2016-02-16,3629.88,3684.88,3629.88,3671.13,3563164
2016-02-17,3643.63,3684.88,3643.63,3671.13,4402536
2016-02-18,3684.88,3726.13,3684.88,3684.88,3657784
2016-02-19,3684.88,3726.13,3684.88,3712.38,5432753
2016-02-22,3698.63,3808.63,3698.63,3739.88,7935234
2016-02-23,3836.12,3836.12,3739.88,3739.88,5871457
2016-02-24,3739.88,3753.63,3684.88,3739.88,5110414
2016-02-25,3753.63,3836.12,3739.88,3753.63,6849449
2016-02-26,3767.38,3904.87,3753.63,3904.87,13542473
2016-02-29,3959.87,3959.87,3836.12,3836.12,6846183
2016-03-01,3836.12,3836.12,3753.63,3767.38,7011423
2016-03-02,3781.13,3794.88,3684.88,3739.88,11754706
2016-03-03,3767.38,3781.13,3712.38,3712.38,5362790
2016-03-04,3726.13,3808.63,3698.63,3781.13,5518934
2016-03-07,3794.88,3863.62,3781.13,3822.37,16011643
2016-03-08,3877.37,4028.62,3877.37,3973.62,49219277
2016-03-09,3987.37,4056.12,3918.62,3918.62,20889182
2016-03-10,3932.37,3946.12,3904.87,3932.37,9058763
2016-03-11,3946.12,4001.12,3918.62,3959.87,15595484
2016-03-14,3987.37,4152.36,3987.37,4124.86,28150445
2016-03-15,4152.36,4193.61,4083.62,4124.86,19611179
2016-03-16,4152.36,4152.36,4097.37,4111.12,11886199
2016-03-17,4152.36,4179.86,4111.12,4124.86,15276781
2016-03-18,4138.61,4138.61,4083.62,4083.62,27591077
2016-03-21,4111.12,4166.11,4097.37,4097.37,11559790
2016-03-22,4111.12,4111.12,4056.12,4056.12,11658268
2016-03-23,4028.62,4083.62,4001.12,4028.62,12627462
2016-03-24,4014.87,4069.87,3959.87,3959.87,13271845
2016-03-25,3959.87,4014.87,3946.12,3987.37,12395379
2016-03-28,4001.12,4111.12,4001.12,4111.12,20639506
2016-03-29,4124.86,4179.86,4097.37,4097.37,14868914
2016-03-30,4083.62,4111.12,4056.12,4056.12,11773106
2016-03-31,4056.12,4152.36,4042.37,4056.12,20077520
2016-04-01,4056.12,4069.87,3959.87,3987.37,11079048
2016-04-04,3987.37,4056.12,3973.62,4014.87,7174630
2016-04-05,4014.87,4042.37,4001.12,4028.62,5660465
2016-04-06,4028.62,4152.36,4028.62,4152.36,14218419
2016-04-07,4179.86,4221.11,4138.61,4138.61,19646452
2016-04-08,4138.61,4276.11,4124.86,4234.86,51492366
2016-04-11,4276.11,4358.61,4276.11,4331.11,39113779
2016-04-12,4331.11,4372.36,4317.36,4358.61,20730999
2016-04-13,4358.61,4358.61,4248.61,4276.11,22590624
2016-04-14,4276.11,4372.36,4276.11,4317.36,15582033
2016-04-15,4344.86,4386.11,4303.61,4303.61,19888208
2016-04-19,4317.36,4317.36,4248.61,4248.61,22165957
2016-04-20,4289.86,4331.11,4234.86,4289.86,20461465
2016-04-21,4317.36,4399.86,4317.36,4331.11,26697519
2016-04-22,4344.86,4509.85,4331.11,4496.1,31472007
2016-04-25,4537.35,4606.1,4523.6,4537.35,22154098
2016-04-26,4509.85,4592.35,4468.6,4537.35,21960201
2016-04-27,4537.35,4537.35,4454.85,4496.1,16886221
2016-04-28,4482.35,4509.85,4427.35,4468.6,13957107
2016-04-29,4454.85,4606.1,4454.85,4606.1,25129468
2016-05-04,4661.1,4867.34,4647.35,4812.34,46576793
2016-05-05,4826.09,5059.83,4743.59,4812.34,57516061
2016-05-06,4757.34,4798.59,4661.1,4674.85,29809261
2016-05-09,4729.84,4771.09,4661.1,4661.1,25133179
2016-05-10,4606.1,4674.85,4578.6,4606.1,35926476
2016-05-11,4674.85,4743.59,4661.1,4743.59,91331132
2016-05-12,4757.34,4771.09,4674.85,4674.85,12675321
2016-05-13,4647.35,4661.1,4551.1,4578.6,28075239
2016-05-16,4564.85,4578.6,4523.6,4564.85,16575879
2016-05-17,4578.6,4647.35,4578.6,4619.85,9745185
2016-05-18,4633.6,4633.6,4551.1,4551.1,12897727
2016-05-19,4551.1,4619.85,4537.35,4564.85,12553276
2016-05-20,4564.85,4578.6,4537.35,4564.85,10522157
2016-05-23,4564.85,4661.1,4551.1,4633.6,8362665
2016-05-24,4619.85,4688.6,4606.1,4633.6,11101739
2016-05-25,4647.35,4702.35,4619.85,4633.6,13400870
2016-05-26,4619.85,4647.35,4564.85,4564.85,13463050
2016-05-27,4551.1,4606.1,4537.35,4578.6,11599936
2016-05-30,4592.35,4674.85,4592.35,4647.35,23223882
2016-05-31,4674.85,4702.35,4633.6,4647.35,25784474
2016-06-01,4647.35,4798.59,4619.85,4729.84,61923839
2016-06-02,4729.84,4853.59,4702.35,4839.84,38248154
2016-06-03,4894.84,4936.09,4853.59,4894.84,47001456
2016-06-06,4922.34,5046.08,4853.59,4867.34,112625575
2016-06-07,4881.09,4991.09,4881.09,4991.09,22165377
2016-06-08,5046.08,5142.33,5018.59,5073.58,27090987
2016-06-09,5114.83,5114.83,5018.59,5046.08,21568916
2016-06-10,5059.83,5156.08,5046.08,5087.33,17741229
2016-06-13,5073.58,5073.58,4991.09,5018.59,21296034
2016-06-14,5004.84,5211.08,4977.34,5211.08,25042271
2016-06-15,5211.08,5321.08,5169.83,5224.83,15703493
2016-06-16,5224.83,5321.08,5224.83,5238.58,20467138
2016-06-17,5211.08,5266.08,5142.33,5142.33,41160907
2016-06-20,5224.83,5279.83,5183.58,5279.83,12153993
2016-06-21,5334.83,5458.57,5334.83,5389.82,26261432
2016-06-22,5389.82,5486.07,5362.32,5444.82,16625918
2016-06-23,5431.07,5541.07,5431.07,5513.57,29528524
2016-06-24,5486.07,5499.82,5128.58,5334.83,88575184
2016-06-27,5266.08,5362.32,5183.58,5362.32,23322069
2016-06-28,5307.33,5403.57,5293.58,5321.08,13313742
2016-06-29,5334.83,5458.57,5321.08,5403.57,32415816
2016-06-30,5472.32,5541.07,5431.07,5444.82,25371949
2016-07-01,5472.32,5554.82,5458.57,5472.32,41154505
2016-07-04,5499.82,5527.32,5458.57,5486.07,30248034
2016-07-05,5541.07,5609.82,5513.57,5527.32,35838036
2016-07-06,5513.57,5637.32,5472.32,5637.32,36054123
2016-07-07,5761.06,5912.31,5706.06,5884.81,26915203
2016-07-08,5912.31,5939.81,5761.06,5871.06,41850967
2016-07-11,5871.06,5898.56,5568.57,5568.57,37696792
2016-07-12,5609.82,5692.31,5527.32,5651.06,41361641
2016-07-13,5706.06,5774.81,5706.06,5719.81,28482017
2016-07-14,5733.56,5747.31,5527.32,5527.32,37395764
2016-07-15,5513.57,5596.07,5403.57,5582.32,27391122
2016-07-18,5582.32,5884.81,5568.57,5816.06,43530584
2016-07-19,5912.31,5912.31,5637.32,5774.81,32311089
2016-07-20,5761.06,5802.31,5651.06,5651.06,19843697
2016-07-21,5664.81,5747.31,5637.32,5664.81,20982210
2016-07-22,5637.32,5637.32,5362.32,5527.32,37751119
2016-07-25,5582.32,5678.56,5513.57,5623.57,27394997
2016-07-26,5623.57,5816.06,5596.07,5816.06,36288313
2016-07-27,5912.31,5967.3,5829.81,5939.81,54340686
2016-07-28,5953.55,6159.8,5953.55,6132.3,42927582
2016-07-29,6146.05,6159.8,6049.8,6118.55,45377257
2016-08-01,6132.3,6132.3,5981.05,6063.55,33838991
2016-08-02,5994.8,6022.3,5871.06,5871.06,46329221
2016-08-03,5843.56,5939.81,5829.81,5939.81,22186173
2016-08-04,5994.8,6008.55,5857.31,5857.31,22411706
2016-08-05,5843.56,5926.06,5802.31,5926.06,34870009
2016-08-08,5939.81,5981.05,5871.06,5884.81,15876296
2016-08-09,5871.06,5953.55,5871.06,5953.55,20011706
2016-08-10,5981.05,6324.79,5981.05,6228.55,41483099
2016-08-11,6228.55,6352.29,6228.55,6324.79,28954468
2016-08-12,6462.29,6489.79,6283.54,6297.29,33189370
2016-08-15,6297.29,6366.04,6269.79,6366.04,33622917
