Date,Open,High,Low,Close,Volume
2016-01-04,12128.62,12128.62,11778.76,11778.76,1747998
2016-01-05,11778.76,11895.38,11662.13,11720.45,1962384
2016-01-06,11662.13,11837.07,11662.13,11778.76,1737587
2016-01-07,11720.45,11778.76,11079.03,11253.96,4430320
2016-01-08,11253.96,11253.96,10670.85,10962.41,2088415
2016-01-11,11079.03,11253.96,11020.72,11079.03,1681595
2016-01-12,11079.03,11253.96,11079.03,11253.96,1055774
2016-01-13,11312.27,11370.58,11020.72,11079.03,906419
2016-01-14,10962.41,11020.72,10729.16,10787.47,2097384
2016-01-15,10787.47,10962.41,10379.3,10379.3,2287744
2016-01-18,10146.06,10146.06,9679.57,9679.57,6284491
2016-01-19,9679.57,10029.44,9679.57,9971.12,2755428
2016-01-20,9971.12,9971.12,9796.19,9854.5,1303566
2016-01-21,9796.19,9854.5,9213.09,9213.09,5144391
2016-01-22,9213.09,9271.4,8571.67,8746.6,9220540
2016-01-25,9096.46,9329.71,9038.15,9329.71,3369056
2016-01-26,9504.64,9796.19,9038.15,9621.26,4592759
2016-01-27,9621.26,10087.75,9562.95,10029.44,3969460
2016-01-28,10204.37,10204.37,9621.26,9621.26,3177958
2016-01-29,9621.26,9854.5,9562.95,9796.19,3025978
2016-02-01,9621.26,9854.5,9504.64,9504.64,2789727
2016-02-02,9504.64,9796.19,9329.71,9446.33,1414044
2016-02-03,9388.02,9562.95,9329.71,9562.95,1232516
2016-02-04,9621.26,9679.57,9446.33,9446.33,1885365
2016-02-05,9446.33,9562.95,9388.02,9562.95,841611
2016-02-15,9504.64,9621.26,9388.02,9562.95,776683
2016-02-16,9621.26,9621.26,9446.33,9504.64,1339787
2016-02-17,9504.64,9504.64,9329.71,9329.71,2592560
2016-02-18,9446.33,9562.95,9388.02,9388.02,2191553
2016-02-19,9446.33,9737.88,9388.02,9621.26,2825861
2016-02-22,9737.88,10029.44,9679.57,10029.44,3855073
2016-02-23,10087.75,10146.06,9854.5,9912.81,3210215
