Date,Open,High,Low,Close,Volume
2016-01-04,12827.25,12896.59,12549.91,12688.58,2465872
2016-01-05,12549.91,12688.58,12480.57,12549.91,547935
2016-01-06,12549.91,12757.92,12549.91,12688.58,785934
2016-01-07,12549.91,12757.92,12341.9,12549.91,2296568
2016-01-08,12480.57,12480.57,12272.56,12272.56,1431553
2016-01-11,12272.56,12411.23,12203.22,12272.56,963114
2016-01-12,12272.56,12411.23,12203.22,12341.9,1024886
2016-01-13,12411.23,12480.57,12272.56,12272.56,660661
2016-01-14,12272.56,12272.56,11995.21,12272.56,1231010
2016-01-15,12272.56,12341.9,12064.55,12203.22,935769
2016-01-18,11925.88,11925.88,11371.18,11648.53,2015272
2016-01-19,11579.19,12064.55,11579.19,12064.55,1481542
2016-01-20,11995.21,11995.21,11717.87,11717.87,877387
2016-01-21,11648.53,11787.2,11301.85,11371.18,1650299
2016-01-22,11371.18,11440.52,10955.17,11163.18,1795547
2016-01-25,11440.52,11925.88,11440.52,11925.88,1267960
2016-01-26,11787.2,12064.55,11648.53,12064.55,1405521
2016-01-27,12064.55,12341.9,12064.55,12133.89,562704
2016-01-28,12133.89,12203.22,11925.88,11925.88,242714
2016-01-29,11925.88,11995.21,11787.2,11925.88,318331
2016-02-01,12203.22,12203.22,11856.54,11856.54,469132
2016-02-02,11856.54,12064.55,11787.2,11856.54,235214
2016-02-03,11717.87,11856.54,11579.19,11787.2,263698
2016-02-04,11925.88,11925.88,11787.2,11925.88,349093
2016-02-05,11925.88,11995.21,11925.88,11925.88,321835
2016-02-15,11717.87,11995.21,11717.87,11925.88,221859
2016-02-16,11925.88,11995.21,11856.54,11856.54,330100
2016-02-17,11856.54,11925.88,11787.2,11856.54,381198
2016-02-18,11856.54,12064.55,11787.2,12064.55,667136
2016-02-19,11995.21,12064.55,11925.88,11925.88,1103285
2016-02-22,11995.21,12064.55,11787.2,11925.88,1151946
2016-02-23,11995.21,12064.55,11856.54,11856.54,790088
2016-02-24,11787.2,12619.24,11787.2,12619.24,4473964
2016-02-25,12757.92,12827.25,12480.57,12757.92,2518009
2016-02-26,12688.58,12757.92,12619.24,12688.58,564031
2016-02-29,12619.24,12619.24,12341.9,12341.9,1337924
2016-03-01,12341.9,12480.57,12203.22,12203.22,1146942
2016-03-02,12272.56,12480.57,12272.56,12411.23,865834
2016-03-03,12480.57,12549.91,12341.9,12480.57,1310852
2016-03-04,12480.57,12549.91,12341.9,12341.9,1426145
2016-03-07,12480.57,12480.57,12272.56,12341.9,1064705
2016-03-08,12272.56,12411.23,12133.89,12272.56,1854246
2016-03-09,12272.56,12341.9,12064.55,12064.55,1224290
2016-03-10,12133.89,12203.22,12064.55,12133.89,487116
2016-03-11,12203.22,12272.56,12064.55,12064.55,865171
2016-03-14,12203.22,12203.22,11995.21,12064.55,802174
2016-03-15,12064.55,12064.55,11856.54,11995.21,1080916
2016-03-16,11995.21,12133.89,11925.88,11995.21,953768
2016-03-17,12064.55,12203.22,11995.21,12064.55,1368095
2016-03-18,12064.55,12133.89,11995.21,11995.21,303735
2016-03-21,12064.55,12272.56,11995.21,11995.21,913399
2016-03-22,11925.88,12064.55,11856.54,11856.54,689607
2016-03-23,11856.54,11995.21,11856.54,11925.88,722619
2016-03-24,11995.21,11995.21,11717.87,11717.87,1058244
2016-03-25,11717.87,11787.2,11509.86,11717.87,2529533
2016-03-28,11856.54,11856.54,11648.53,11717.87,376150
2016-03-29,11717.87,11717.87,11509.86,11509.86,983189
2016-03-30,11579.19,11579.19,11440.52,11579.19,1000785
2016-03-31,11579.19,11579.19,11301.85,11371.18,2412884
2016-04-01,11371.18,11440.52,11232.51,11301.85,721076
2016-04-04,11301.85,11440.52,11232.51,11440.52,801510
2016-04-05,11371.18,11509.86,11301.85,11371.18,456440
2016-04-06,11371.18,11579.19,11301.85,11579.19,1623545
2016-04-07,11648.53,11648.53,11440.52,11579.19,1521118
2016-04-08,11648.53,11648.53,11509.86,11579.19,1133082
2016-04-11,11648.53,11648.53,11371.18,11440.52,2639186
2016-04-12,11440.52,11509.86,11163.18,11232.51,2118912
2016-04-13,11232.51,11301.85,11093.84,11232.51,1282686
2016-04-14,11232.51,11371.18,11163.18,11163.18,692145
2016-04-15,11163.18,11301.85,11163.18,11232.51,2271977
2016-04-19,11301.85,11301.85,11024.5,11093.84,856186
2016-04-20,11093.84,11163.18,10955.17,11093.84,1167581
2016-04-21,11163.18,11163.18,11024.5,11093.84,629335
2016-04-22,11093.84,11856.54,11024.5,11648.53,3802167
2016-04-25,11787.2,12064.55,11787.2,11856.54,4427596
2016-04-26,11856.54,11925.88,11648.53,11717.87,929481
2016-04-27,11787.2,11787.2,11440.52,11440.52,2537320
2016-04-28,11371.18,11440.52,11163.18,11232.51,1640232
2016-04-29,11163.18,11717.87,11163.18,11509.86,1940276
2016-05-04,11509.86,11579.19,11301.85,11371.18,1247971
2016-05-05,11509.86,11717.87,11371.18,11579.19,2188674
2016-05-06,11579.19,12064.55,11579.19,11995.21,5157860
2016-05-09,12133.89,12341.9,11925.88,11995.21,3459677
2016-05-10,11856.54,12203.22,11787.2,12064.55,2466160
2016-05-11,12133.89,12480.57,11995.21,12480.57,4995622
2016-05-12,12619.24,12619.24,12203.22,12272.56,1850309
2016-05-13,12272.56,12549.91,12133.89,12272.56,2308610
2016-05-16,12272.56,12272.56,12064.55,12133.89,1289695
2016-05-17,12272.56,12480.57,12203.22,12480.57,2664642
2016-05-18,12411.23,12619.24,12341.9,12411.23,2372876
2016-05-19,12411.23,12480.57,12272.56,12272.56,800602
2016-05-20,12272.56,12341.9,12064.55,12133.89,1117390
2016-05-23,12203.22,12203.22,11856.54,11856.54,1353932
2016-05-24,11856.54,11995.21,11787.2,11995.21,1654683
2016-05-25,11995.21,12133.89,11995.21,11995.21,1523137
2016-05-26,11925.88,11995.21,11717.87,11856.54,2225306
2016-05-27,11856.54,12133.89,11787.2,12064.55,1338977
2016-05-30,12064.55,12272.56,11995.21,12203.22,885896
2016-05-31,12203.22,12411.23,12203.22,12341.9,1626156
2016-06-01,12341.9,12480.57,12272.56,12341.9,1611906
2016-06-02,12341.9,12411.23,12272.56,12411.23,557007
2016-06-03,12411.23,12411.23,12272.56,12341.9,836889
2016-06-06,12272.56,12341.9,12064.55,12203.22,1157903
2016-06-07,12203.22,12203.22,12064.55,12064.55,1034649
2016-06-08,12133.89,12272.56,12133.89,12203.22,711962
2016-06-09,12203.22,12411.23,12133.89,12341.9,1284041
2016-06-10,12203.22,12411.23,12203.22,12341.9,1533218
2016-06-13,12341.9,12341.9,12133.89,12203.22,842485
2016-06-14,12133.89,12133.89,11925.88,12064.55,1408824
2016-06-15,12064.55,12133.89,11925.88,12064.55,717514
2016-06-16,11995.21,12133.89,11925.88,11925.88,776762
2016-06-17,11995.21,11995.21,11717.87,11717.87,911582
2016-06-20,11787.2,11856.54,11717.87,11787.2,619066
2016-06-21,11856.54,11925.88,11717.87,11787.2,406668
2016-06-22,11925.88,11925.88,11648.53,11717.87,740748
2016-06-23,11787.2,11925.88,11717.87,11925.88,691972
2016-06-24,11856.54,11925.88,11093.84,11579.19,1577394
2016-06-27,11371.18,11579.19,11371.18,11579.19,482141
2016-06-28,11509.86,11579.19,11440.52,11440.52,263122
2016-06-29,11579.19,11856.54,11579.19,11717.87,740763
2016-06-30,11787.2,11856.54,11648.53,11648.53,575021
2016-07-01,11648.53,11856.54,11648.53,11787.2,388813
2016-07-04,11856.54,11925.88,11717.87,11856.54,952960
2016-07-05,11856.54,12203.22,11856.54,12064.55,1727444
2016-07-06,12064.55,12064.55,11856.54,11925.88,936952
2016-07-07,11925.88,11995.21,11787.2,11995.21,487102
2016-07-08,12064.55,12064.55,11856.54,11925.88,1096910
2016-07-11,11925.88,12341.9,11925.88,12064.55,1752698
2016-07-12,12133.89,12272.56,12064.55,12272.56,3012395
2016-07-13,12341.9,13104.6,12272.56,13104.6,7593821
2016-07-14,13381.94,14005.97,12896.59,12896.59,7359918
2016-07-15,13173.93,13381.94,12965.92,12965.92,2197701
2016-07-18,12827.25,13173.93,12688.58,12965.92,1563577
2016-07-19,13173.93,13173.93,12341.9,12619.24,2488385
2016-07-20,12619.24,12619.24,12272.56,12341.9,2534191
2016-07-21,12272.56,12480.57,12203.22,12341.9,1132404
2016-07-22,12341.9,12341.9,12064.55,12341.9,1793413
2016-07-25,12411.23,12411.23,12133.89,12133.89,668276
2016-07-26,12133.89,12203.22,12064.55,12203.22,391106
2016-07-27,12203.22,12619.24,12133.89,12480.57,2156425
2016-07-28,12480.57,12480.57,12341.9,12341.9,421768
2016-07-29,12411.23,12480.57,12272.56,12341.9,628024
2016-08-01,12341.9,12341.9,12203.22,12272.56,879565
2016-08-02,12272.56,12272.56,11856.54,11925.88,2120455
2016-08-03,11856.54,11995.21,11787.2,11856.54,648028
2016-08-04,11787.2,12133.89,11787.2,11995.21,880300
2016-08-05,11787.2,12064.55,11787.2,11856.54,793564
2016-08-08,11925.88,11925.88,11787.2,11925.88,324648
2016-08-09,11856.54,11995.21,11717.87,11717.87,626422
2016-08-10,11787.2,12064.55,11787.2,12064.55,652657
2016-08-11,12064.55,12341.9,11995.21,12203.22,967180
2016-08-12,12203.22,12272.56,11925.88,12133.89,576304
2016-08-15,12133.89,12133.89,11925.88,12133.89,401000
2016-08-16,11995.21,12133.89,11995.21,11995.21,458574
2016-08-17,12064.55,12064.55,11925.88,11995.21,380404
2016-08-18,11995.21,12064.55,11925.88,11995.21,388885
2016-08-19,11925.88,11995.21,11787.2,11856.54,869555
2016-08-22,11925.88,11925.88,11856.54,11925.88,715192
2016-08-23,11925.88,11925.88,11856.54,11856.54,349642
2016-08-24,11856.54,11995.21,11856.54,11995.21,616096
2016-08-25,11995.21,11995.21,11856.54,11856.54,249536
2016-08-26,11925.88,12203.22,11925.88,12064.55,897275
2016-08-29,12064.55,12133.89,11995.21,11995.21,670093
2016-08-30,11995.21,12133.89,11995.21,12064.55,963244
2016-08-31,12064.55,12133.89,11995.21,12064.55,857455
2016-09-01,11925.88,12064.55,11856.54,11925.88,542397
2016-09-05,11995.21,11995.21,11856.54,11856.54,453051
2016-09-06,11995.21,11995.21,11787.2,11856.54,570045
2016-09-07,11787.2,11995.21,11787.2,11925.88,264088
2016-09-08,11995.21,11995.21,11856.54,11925.88,464083
2016-09-09,11995.21,12064.55,11925.88,12064.55,542917
2016-09-12,12064.55,12064.55,11856.54,11960.54,572209
2016-09-13,11995.21,11995.21,11856.54,11891.21,240695
2016-09-14,11891.21,11891.21,11579.19,11648.53,606260
2016-09-15,11648.53,11856.54,11648.53,11752.54,439103
2016-09-16,11787.2,11787.2,11717.87,11752.54,225104
2016-09-19,11752.54,11891.21,11752.54,11856.54,736307
2016-09-20,11787.2,11856.54,11787.2,11821.87,367165
2016-09-21,11821.87,11856.54,11787.2,11787.2,192264
2016-09-22,11856.54,11856.54,11787.2,11787.2,473170
2016-09-23,11787.2,11856.54,11717.87,11717.87,1554564
2016-09-26,11717.87,11787.2,11717.87,11717.87,318143
2016-09-27,11683.2,11925.88,11683.2,11891.21,1090998
2016-09-28,11925.88,12203.22,11891.21,12064.55,1213459
2016-09-29,12133.89,12133.89,11891.21,11891.21,150728
2016-09-30,11856.54,11891.21,11752.54,11752.54,621850
2016-10-03,11787.2,11925.88,11752.54,11752.54,226979
2016-10-04,11752.54,12064.55,11717.87,11995.21,1011948
2016-10-05,11995.21,12376.56,11925.88,12203.22,2120931
2016-10-06,12272.56,12341.9,12168.55,12203.22,1221521
2016-10-07,12203.22,12203.22,11995.21,11995.21,425027
2016-10-10,11995.21,12133.89,11856.54,11856.54,802549
2016-10-11,11856.54,11925.88,11787.2,11891.21,688598
2016-10-12,11960.54,12064.55,11856.54,11891.21,440172
2016-10-13,11960.54,11960.54,11821.87,11891.21,467977
2016-10-14,11925.88,11995.21,11821.87,11821.87,924144
2016-10-17,11821.87,11891.21,11787.2,11821.87,535720
2016-10-18,11821.87,11856.54,11752.54,11821.87,466377
2016-10-19,11856.54,12133.89,11821.87,12029.88,1655245
2016-10-20,12064.55,12099.22,11960.54,11995.21,435181
2016-10-21,12029.88,12029.88,11891.21,11891.21,344854
2016-10-24,11891.21,12099.22,11891.21,11995.21,1189907
2016-10-25,12064.55,12064.55,11856.54,11925.88,911828
2016-10-26,11925.88,11925.88,11752.54,11752.54,545181
2016-10-27,11752.54,11787.2,11509.86,11509.86,1180070
2016-10-28,11717.87,11787.2,11509.86,11787.2,1438967
2016-10-31,11925.88,11925.88,11648.53,11683.2,358901
2016-11-01,11683.2,11752.54,11509.86,11613.86,402384
2016-11-02,11613.86,11683.2,11544.53,11579.19,579146
2016-11-03,11544.53,11579.19,11509.86,11509.86,499852
