Date,Open,High,Low,Close,Volume
2016-01-04,7199.38,7329.09,7199.38,7264.24,146496
2016-01-05,7199.38,7329.09,7199.38,7264.24,319189
2016-01-06,7134.52,7329.09,7134.52,7264.24,403642
2016-01-07,7199.38,7264.24,7134.52,7199.38,319750
2016-01-08,7134.52,7134.52,7069.66,7069.66,454414
2016-01-11,7069.66,7329.1,7004.8,7069.66,257251
2016-01-12,7264.24,7329.09,7069.66,7329.09,324037
2016-01-13,7329.09,7783.11,7199.38,7783.11,802436
2016-01-14,7329.09,7523.67,7329.09,7329.09,17761432
2016-01-15,7329.09,7458.81,7264.24,7264.24,736938
2016-01-18,7134.52,7199.38,6939.94,7069.66,192010
2016-01-19,7069.66,7069.66,6939.94,7069.66,137390
2016-01-20,7069.66,7069.66,6939.94,7004.8,109239
2016-01-21,6939.94,7004.8,6810.22,6939.94,477292
2016-01-22,6875.08,6875.08,6550.78,6680.5,828527
2016-01-25,6680.5,6680.5,6485.92,6550.78,1902187
2016-01-26,6615.64,6939.94,6550.78,6810.22,516125
2016-01-27,6875.08,6875.08,6680.5,6680.5,572851
2016-01-28,6680.5,6745.36,6550.78,6550.78,985829
2016-01-29,6615.64,6810.22,6550.78,6810.22,1302032
2016-02-01,6810.22,6810.22,6680.5,6680.5,326796
2016-02-02,6680.5,6810.22,6615.64,6810.22,394642
2016-02-03,6680.5,6875.08,6615.64,6875.08,550882
2016-02-04,6875.08,6939.94,6875.08,6939.94,556745
2016-02-05,6939.94,7004.8,6939.94,7004.8,85482
2016-02-15,7004.8,7004.8,6680.5,6680.5,131496
2016-02-16,6680.5,6745.36,6615.64,6615.64,453429
2016-02-17,6680.5,6680.5,6550.78,6550.78,495747
2016-02-18,6550.78,6875.08,6485.92,6810.22,631970
2016-02-19,6680.5,6810.22,6615.64,6810.22,989312
2016-02-22,6745.36,6810.22,6680.5,6680.5,1676964
2016-02-23,6680.5,6745.36,6680.5,6680.5,974009
2016-02-24,6615.64,6875.08,6615.64,6745.36,1822507
2016-02-25,6810.22,6875.08,6680.5,6680.5,429354
2016-02-26,6875.08,6875.08,6810.22,6810.22,232842
2016-02-29,6810.22,6810.22,6745.36,6745.36,1342441
2016-03-01,6745.36,6875.08,6745.36,6875.08,461716
2016-03-02,6875.08,6875.08,6810.22,6810.22,245964
2016-03-03,6810.22,6875.08,6810.22,6875.08,134754
2016-03-04,6810.22,6875.08,6745.36,6745.36,548882
2016-03-07,6875.08,6875.08,6745.36,6745.36,106708
2016-03-08,6745.36,6875.08,6745.36,6875.08,516533
2016-03-09,6875.08,6875.08,6745.36,6875.08,140072
2016-03-10,6745.36,6875.08,6745.36,6875.08,92846
2016-03-11,6875.08,6875.08,6680.5,6680.5,515898
2016-03-14,6680.5,6810.22,6680.5,6745.36,373597
2016-03-15,6680.5,6810.22,6680.5,6745.36,1475716
2016-03-16,6745.36,6745.36,6680.5,6680.5,51210
2016-03-17,6680.5,6875.08,6680.5,6810.22,9381016
2016-03-18,6745.36,6810.22,6745.36,6745.36,12225956
2016-03-21,6745.36,6810.22,6680.5,6680.5,403612
2016-03-22,6680.5,6680.5,6615.64,6680.5,194980
2016-03-23,6745.36,6745.36,6615.64,6680.5,100815
2016-03-24,6680.5,6745.36,6615.64,6680.5,823209
2016-03-25,6680.5,6680.5,6615.64,6680.5,294508
2016-03-28,6680.5,6745.36,6615.64,6745.36,646137
2016-03-29,6745.36,6745.36,6615.64,6680.5,330311
2016-03-30,6615.64,6745.36,6615.64,6680.5,620016
2016-03-31,6680.5,6810.22,6680.5,6810.22,897389
2016-04-01,6680.5,6875.08,6615.64,6810.22,3534813
2016-04-04,6810.22,6810.22,6421.07,6550.78,1360819
2016-04-05,6421.07,6615.64,6421.07,6615.64,1497165
2016-04-06,6421.07,6680.5,6421.07,6615.64,2262831
2016-04-07,6550.78,6810.22,6550.78,6810.22,638910
2016-04-08,6680.5,6810.22,6615.64,6745.36,257463
2016-04-11,6745.36,6810.22,6745.36,6810.22,283721
2016-04-12,6810.22,6810.22,6745.36,6810.22,460975
2016-04-13,6810.22,6810.22,6615.64,6745.36,130557
2016-04-14,6745.36,6745.36,6615.64,6680.5,121193
2016-04-15,6680.5,6745.36,6615.64,6745.36,57483
2016-04-19,6680.5,6745.36,6615.64,6745.36,123770
2016-04-20,6680.5,6745.36,6615.64,6745.36,415975
2016-04-21,6745.36,6810.22,6680.5,6810.22,570153
2016-04-22,6680.5,6875.08,6680.5,6810.22,278008
2016-04-25,6810.22,6810.22,6680.5,6810.22,319902
2016-04-26,6745.36,6810.22,6680.5,6810.22,209525
2016-04-27,6810.22,6875.08,6745.36,6875.08,175662
2016-04-28,6875.08,6875.08,6745.36,6875.08,109603
2016-04-29,6875.08,6875.08,6745.36,6875.08,93906
2016-05-04,6810.22,6875.08,6745.36,6745.36,455581
2016-05-05,6745.36,6939.94,6745.36,6939.94,7831301
2016-05-06,6875.08,7004.8,6810.22,6875.08,533640
2016-05-09,6810.22,7004.8,6810.22,6939.94,484246
2016-05-10,6939.94,7134.52,6939.94,7134.52,390734
2016-05-11,7134.52,7199.38,7004.8,7134.52,288144
2016-05-12,7069.66,7393.95,7069.66,7264.24,914555
2016-05-13,7134.52,7458.81,7134.52,7329.09,318144
2016-05-16,7264.24,7393.95,7264.24,7329.09,326523
2016-05-17,7264.24,7393.95,7264.24,7329.09,238479
2016-05-18,7329.09,7783.11,7264.24,7783.11,2850409
2016-05-19,7588.53,7912.83,7588.53,7847.97,721362
2016-05-20,7718.25,7912.83,7718.25,7783.11,764467
2016-05-23,7588.53,7977.69,7588.53,7977.69,1858324
2016-05-24,7783.11,7977.69,7783.11,7847.97,656152
2016-05-25,7783.11,8042.55,7783.11,7977.69,1116733
2016-05-26,7977.69,8301.98,7977.69,8237.12,1970322
2016-05-27,8237.12,8301.98,8107.41,8172.26,6257535
2016-05-30,8107.41,8172.26,8042.55,8172.26,732817
2016-05-31,8172.26,8431.7,8107.41,8431.7,2688049
2016-06-01,8431.7,8431.7,8301.98,8366.84,3057796
2016-06-02,8301.98,8301.98,8107.41,8107.41,1194328
2016-06-03,8107.41,8107.41,7912.83,7912.83,1919507
2016-06-06,7977.69,7977.69,7653.39,7718.25,201283
2016-06-07,7718.25,7783.11,7653.39,7718.25,228783
2016-06-08,7653.39,7783.11,7653.39,7783.11,194737
2016-06-09,7718.25,7783.11,7718.25,7783.11,36437
2016-06-10,7329.09,7783.11,7329.09,7653.39,768468
2016-06-13,7653.39,7653.39,7523.67,7523.67,37089
2016-06-14,7458.81,7588.53,7458.81,7523.67,88512
2016-06-15,7523.67,7653.39,7393.95,7523.67,266069
2016-06-16,7458.81,7588.53,7458.81,7458.81,291023
2016-06-17,7588.53,7653.39,7393.95,7653.39,83740
2016-06-20,7653.39,7653.39,7653.39,7653.39,236433
2016-06-21,7588.53,7653.39,7523.67,7588.53,195268
2016-06-22,7458.81,7588.53,7458.81,7523.67,69058
2016-06-23,7523.67,7588.53,7523.67,7523.67,76058
