Date,Open,High,Low,Close,Volume
2016-01-04,13400.82,13428.5,13234.69,13234.69,2458590
2016-01-05,13234.69,13290.07,13207.0,13234.69,2577408
2016-01-06,13234.69,13317.75,13234.69,13262.38,1568843
2016-01-07,13262.38,13262.38,13013.19,13013.19,6955833
2016-01-08,12957.81,12985.5,12736.31,12819.38,6228063
2016-01-11,12819.38,12819.38,12708.62,12708.62,2828076
2016-01-12,12736.31,12985.5,12653.25,12985.5,2254763
2016-01-13,13013.19,13096.25,12819.38,12847.06,1906269
2016-01-14,12764.0,12847.06,12736.31,12791.69,2000407
2016-01-15,12791.69,12874.75,12736.31,12764.0,2493842
2016-01-18,12653.25,12653.25,12265.62,12431.75,8023600
2016-01-19,12431.75,12542.5,12376.37,12487.12,3066979
2016-01-20,12487.13,12597.88,12431.75,12431.75,2394577
2016-01-21,12404.06,12487.13,12348.69,12431.75,2274600
2016-01-22,12459.44,12487.12,12265.62,12404.06,2607953
2016-01-25,12597.87,13040.88,12459.44,13040.88,13472709
2016-01-26,12874.75,12902.44,12708.62,12708.62,5481470
2016-01-27,12874.75,12874.75,12791.69,12819.38,1884185
2016-01-28,12819.38,12847.06,12680.94,12736.31,1955850
2016-01-29,12819.38,12874.75,12708.63,12847.06,1744965
2016-02-01,12874.75,12985.5,12736.31,12902.44,2121159
2016-02-02,12819.38,12930.13,12791.69,12791.69,717020
2016-02-03,12847.06,12985.5,12791.69,12902.44,2322668
2016-02-04,12985.5,12985.5,12874.75,12874.75,990264
2016-02-05,12930.13,13013.19,12874.75,12985.5,1347533
2016-02-15,12930.13,12957.81,12819.38,12930.13,1201079
2016-02-16,13013.19,13151.63,12930.13,13096.25,1216561
2016-02-17,13151.63,13345.44,13151.63,13151.63,2596335
2016-02-18,13207.0,13373.13,13179.31,13317.75,2939556
2016-02-19,13290.07,13290.07,13179.31,13207.0,1862348
2016-02-22,13207.0,13345.44,13207.0,13345.44,1891911
2016-02-23,13428.5,13428.5,13234.69,13234.69,2623510
2016-02-24,13207.0,13290.07,13179.32,13234.69,2303287
2016-02-25,13290.07,13373.13,13179.32,13179.32,2573966
2016-02-26,13234.69,13234.69,13123.94,13207.0,1751848
2016-02-29,13262.38,13262.38,13179.32,13234.69,1812665
2016-03-01,13234.69,13539.25,13179.32,13345.44,4514762
2016-03-02,13400.82,13511.57,13373.13,13483.88,2850791
2016-03-03,13539.25,13650.0,13511.57,13511.57,2919366
2016-03-04,13456.19,13650.0,13456.19,13566.94,3876137
2016-03-07,13566.94,13677.69,13456.19,13456.19,2569576
2016-03-08,13456.19,13483.88,13290.06,13290.06,3997557
2016-03-09,13234.69,13345.44,13234.69,13290.06,1495778
2016-03-10,13290.07,13373.13,13262.38,13345.44,1103667
2016-03-11,13400.82,13539.26,13400.82,13428.5,2642576
2016-03-14,13566.94,13677.69,13483.88,13483.88,4676033
2016-03-15,13539.26,13594.63,13428.5,13428.5,1914836
2016-03-16,13428.5,13483.88,13400.82,13428.5,1730919
2016-03-17,13456.19,13539.26,13428.5,13428.5,2979969
2016-03-18,13566.94,13816.13,13566.94,13650.0,9260643
2016-03-21,13650.0,13705.38,13566.94,13622.32,3465009
2016-03-22,13566.94,13594.63,13483.88,13483.88,2460271
2016-03-23,13483.88,13566.94,13428.5,13483.88,2357745
2016-03-24,13511.57,13539.25,13400.82,13400.82,2921122
2016-03-25,13345.44,13400.82,13179.31,13262.38,4225015
2016-03-28,13373.13,13373.13,13262.38,13290.06,1899879
2016-03-29,13290.07,13290.07,13123.94,13151.63,2707497
2016-03-30,13151.63,13262.38,13068.57,13151.63,2092402
2016-03-31,13151.63,13290.07,13040.88,13040.88,2763783
2016-04-01,13040.88,13068.57,12930.13,12957.81,1861575
2016-04-04,12930.13,13013.19,12930.13,12957.81,1300583
2016-04-05,12957.81,13068.56,12930.13,13013.19,1883554
2016-04-06,13013.19,13123.94,12985.5,13123.94,1011505
2016-04-07,13151.63,13262.38,13123.94,13234.69,1705747
2016-04-08,13179.32,13290.07,13179.32,13179.32,1967051
2016-04-11,13234.69,13345.44,13151.63,13262.38,2860940
2016-04-12,13290.07,13290.07,13151.63,13207.0,1382118
2016-04-13,13179.32,13234.69,13151.63,13179.32,1994685
2016-04-14,13151.63,13234.69,13151.63,13151.63,2009676
2016-04-15,13179.31,13207.0,13068.56,13068.56,3384007
2016-04-19,13068.56,13151.63,13013.19,13013.19,3409708
2016-04-20,13013.19,13068.56,12985.5,13040.88,3083864
2016-04-21,13096.25,13151.63,13040.88,13096.25,2269440
2016-04-22,13096.25,13234.69,13040.88,13234.69,3439942
2016-04-25,13290.06,13373.13,13234.69,13262.38,2764134
2016-04-26,13262.38,13290.06,13151.63,13262.38,1346618
2016-04-27,13290.07,13317.75,13151.63,13207.0,2234044
