Date,Open,High,Low,Close,Volume
2018-04-19,9595.34,9595.34,8718.06,8896.25,25748962
2018-04-20,8992.21,8992.21,8745.47,8909.96,6955501
2018-04-23,8909.96,8937.38,8306.83,8443.9,3241916
2018-04-24,8306.83,8498.73,7868.18,8443.9,3828292
2018-04-26,8416.49,8471.32,8087.5,8142.34,2181440
2018-04-27,8210.87,8279.41,8046.38,8279.41,2766087
2018-05-02,8471.32,8471.32,8142.34,8169.75,1655178
2018-05-03,8169.75,8169.75,7950.43,8169.75,1438880
2018-05-04,8347.95,8347.95,8087.5,8169.75,944522
2018-05-07,8197.17,8224.58,8005.26,8224.58,952287
2018-05-08,8498.73,8498.73,8169.75,8252.0,1963206
2018-05-09,8252.0,8252.0,8114.92,8224.58,1302176
2018-05-10,8224.58,8224.58,7950.43,8087.5,652941
2018-05-11,8087.5,8169.75,7840.77,8169.75,2560419
2018-05-14,8169.75,8169.75,7895.6,8087.5,892708
2018-05-15,8087.5,8183.46,7895.6,8169.75,1654152
2018-05-16,8169.75,8183.46,8005.26,8087.5,1854244
2018-05-17,8114.92,8169.75,8032.67,8087.5,1361406
2018-05-18,8060.09,8169.75,7991.55,8142.34,1644624
2018-05-21,8156.04,8156.04,8073.8,8101.21,1198303
2018-05-22,8101.21,8156.04,7840.77,8032.67,1463376
2018-05-23,8032.67,8073.8,7923.01,8060.09,1786263
2018-05-24,8046.38,8073.8,7977.84,8032.67,1294978
2018-05-25,8032.67,8060.09,7936.72,7950.43,1087081
2018-05-28,7895.6,7923.01,7429.54,7429.54,695472
2018-05-29,7539.2,7909.31,7539.2,7895.6,2083921
2018-05-30,7881.89,7936.72,7785.94,7868.18,605257
2018-05-31,7840.77,7854.48,7676.28,7676.28,1014231
2018-06-01,7840.77,7840.77,7676.28,7676.28,354900
2018-06-04,7703.69,8169.75,7662.57,8087.5,1368429
2018-06-05,8114.92,8114.92,7923.01,8060.09,1620796
2018-06-06,8005.26,8032.67,7895.6,7923.01,2992797
2018-06-07,7950.43,7950.43,7868.18,7923.01,2384502
2018-06-08,7923.01,7950.43,7813.35,7854.48,4103252
2018-06-11,7923.01,7923.01,7731.11,7813.35,136626
2018-06-12,7813.35,7813.35,7621.45,7731.11,148874
2018-06-13,7731.11,7758.52,7676.28,7731.11,392452
2018-06-14,7731.11,7731.11,7607.74,7676.28,81139
2018-06-15,7717.4,7717.4,7607.74,7621.45,92684
2018-06-18,7621.45,7621.45,7402.12,7402.12,157029
2018-06-19,7292.46,7511.78,6894.94,7429.54,2290225
2018-06-20,7429.54,7539.2,7429.54,7511.78,2289765
2018-06-21,7566.61,7648.86,7402.12,7511.78,154099
2018-06-22,7484.37,7539.2,7484.37,7539.2,407030
2018-06-25,7552.91,7676.28,7539.2,7621.45,723531
2018-06-26,7182.8,7648.86,7182.8,7621.45,358041
2018-06-27,7594.03,7621.45,7402.12,7580.32,149511
2018-06-28,7580.32,7580.32,7402.12,7402.12,156606
2018-06-29,7539.2,7539.2,7374.71,7539.2,828009
2018-07-02,7539.2,7566.61,7388.42,7402.12,261045
2018-07-03,7402.12,7415.83,7114.26,7155.39,643197
2018-07-04,7155.39,7182.8,6798.99,6977.19,1001806
2018-07-05,7100.55,7223.92,6936.06,6936.06,2750168
2018-07-06,6936.06,7319.88,6936.06,7319.88,1214607
2018-07-09,7402.12,7402.12,6812.69,7402.12,799489
2018-07-10,7402.12,7456.95,7374.71,7456.95,3753772
2018-07-11,7456.95,7456.95,7292.46,7347.29,290943
2018-07-12,7319.88,7347.29,7278.75,7333.58,490294
2018-07-13,7443.25,7470.66,7374.71,7429.54,1072117
2018-07-16,7402.12,7402.12,7265.05,7402.12,763947
2018-07-17,7402.12,7415.83,7347.29,7347.29,556900
2018-07-18,7361.0,7429.54,7306.17,7402.12,874563
2018-07-19,7388.42,7402.12,7319.88,7374.71,194654
2018-07-20,7402.12,7402.12,7347.29,7374.71,90316
2018-07-23,7388.42,7388.42,7319.88,7361.0,232068
2018-07-24,7402.12,7415.83,6853.82,7319.88,277706
2018-07-25,7292.46,7361.0,6853.82,7237.63,349110
2018-07-26,7237.63,7347.29,7223.92,7265.05,6084073
2018-07-27,7265.05,7347.29,7223.92,7292.46,1920920
2018-07-30,7100.56,7292.46,6881.23,7018.31,768289
2018-07-31,6867.53,7018.31,6867.53,6990.89,464738
2018-08-01,6949.77,7004.6,6853.82,6853.82,474940
2018-08-02,6840.11,6853.82,6579.67,6771.57,663636
2018-08-03,6579.67,6853.82,6579.67,6757.86,707048
2018-08-06,6757.86,6853.82,6524.83,6552.25,1063576
2018-08-07,6565.96,6607.08,6565.96,6593.37,338698
2018-08-08,6593.37,6730.45,6593.37,6689.33,794794
2018-08-09,6716.74,7045.72,6716.74,6963.48,1627892
2018-08-10,6977.19,7045.72,6881.23,7004.6,1172220
2018-08-13,7018.31,7141.68,6949.77,7127.97,1188950
2018-08-14,7210.22,7237.63,7127.97,7127.97,1103636
2018-08-15,7127.97,7196.51,7045.72,7059.43,1022350
2018-08-16,7018.31,7155.39,7018.31,7141.68,829454
2018-08-17,7210.22,7402.12,7141.68,7196.51,926239
2018-08-20,7127.97,7210.22,7127.97,7127.97,1006610
2018-08-21,7127.97,7196.51,7127.97,7196.51,1101272
2018-08-22,7196.51,7306.17,7155.39,7223.92,2055205
2018-08-23,7182.8,7319.88,7182.8,7265.05,1326146
2018-08-24,7278.75,7278.75,7237.63,7278.75,1125062
2018-08-27,7292.46,7319.88,7292.46,7319.88,927862
2018-08-28,7292.46,7388.42,7292.46,7374.71,2109648
2018-08-29,7374.71,7429.54,7347.29,7415.83,1246975
2018-08-30,7402.12,7429.54,7347.29,7415.83,1362922
2018-08-31,7415.83,7470.66,7374.71,7374.71,1216796
2018-09-04,7361.0,7388.42,7333.59,7347.29,970466
2018-09-05,7333.59,7361.0,7265.05,7265.05,1014303
2018-09-06,7237.63,7347.29,6757.86,6757.86,1110060
2018-09-07,7059.43,7223.92,7045.72,7223.92,1179700
2018-09-10,7251.34,7278.75,7196.51,7223.92,1041375
2018-09-11,7223.92,7237.63,7155.39,7155.39,1080060
2018-09-12,7155.39,7223.92,7127.97,7155.39,1098801
2018-09-13,7169.09,7196.51,7155.39,7182.8,968240
2018-09-14,7182.8,7210.22,7169.09,7182.8,1045576
2018-09-17,7182.8,7182.8,7127.97,7155.39,1047624
2018-09-18,7155.39,7155.39,7004.6,7155.39,1204692
2018-09-19,7169.09,7196.51,7127.97,7182.8,1423776
2018-09-20,7196.51,7251.34,7182.8,7196.51,1594147
2018-09-21,7196.51,7237.63,7182.8,7196.51,1620055
2018-09-24,7210.22,7237.63,7182.8,7196.51,634622
2018-09-25,7196.51,7196.51,7086.85,7114.26,1244539
2018-09-26,7127.97,7278.75,7073.14,7127.97,991008
2018-09-27,7127.97,7182.8,7114.26,7127.97,838596
2018-09-28,7127.97,7182.8,7100.56,7182.8,1330980
2018-10-01,7182.8,7223.92,7169.09,7182.8,1182382
2018-10-02,7182.8,7265.05,7114.26,7169.09,1633185
2018-10-03,7182.8,7223.92,7169.09,7210.22,2270140
2018-10-04,7210.22,7456.95,7210.22,7402.12,3241459
