Date,Open,High,Low,Close,Volume
2020-11-10,9370.84,9398.4,9040.11,9040.11,5558010
2020-11-11,9095.23,9109.01,9012.54,9012.54,2656885
2020-11-12,8984.98,9095.23,8984.98,9053.89,2893730
2020-11-13,9095.23,9095.23,9026.33,9081.45,3493744
2020-11-16,9095.23,9109.01,8998.76,9053.89,2760534
2020-11-17,9053.89,9095.23,9040.11,9067.67,3774980
2020-11-18,8984.98,9081.45,8984.98,9081.45,3067592
2020-11-19,9492.11,9492.11,9293.67,9359.82,3249172
2020-11-20,9392.89,9392.89,9293.67,9326.74,1121178
2020-11-23,9326.74,9326.74,9095.23,9244.06,1310269
2020-11-24,9244.06,9260.6,9095.23,9244.06,1595979
2020-11-25,9244.06,9260.6,9194.45,9260.6,1320831
2020-11-26,9244.06,9260.6,9144.84,9260.6,1374990
2020-11-27,9244.06,9260.6,9210.99,9260.6,944955
2020-11-30,9260.6,9260.6,9128.3,9128.3,830958
2020-12-01,8996.01,9756.7,8996.01,9756.7,8635288
2020-12-02,9955.14,10434.71,9922.07,10434.71,4504279
2020-12-03,10996.96,11162.33,10715.83,10715.83,3399099
2020-12-04,10583.54,10914.27,10269.34,10781.98,4085124
2020-12-07,10781.98,10848.13,10550.46,10616.61,1949804
2020-12-08,10616.61,11030.03,10567.0,10781.98,2382466
2020-12-09,10848.13,10864.66,10649.68,10649.68,2179125
2020-12-10,10649.69,10715.83,10434.71,10484.32,2094157
2020-12-11,10484.32,10748.91,10385.1,10616.61,2570923
2020-12-14,10616.61,10715.83,10533.93,10533.93,2065286
2020-12-15,10517.39,10848.13,10484.32,10567.0,1911010
2020-12-16,10567.0,10748.91,10550.46,10715.83,2108752
2020-12-17,10748.91,11079.64,10583.54,10848.13,5453699
2020-12-18,10914.27,11046.57,10798.52,10980.42,1552407
2020-12-21,10980.42,11245.01,10980.42,11162.33,1697929
2020-12-22,11079.64,11162.33,10963.88,11063.1,1801495
2020-12-23,11030.03,11063.11,10831.59,10831.59,2629328
2020-12-24,10831.59,10914.27,10517.39,10616.61,2094342
2020-12-25,10583.54,10881.2,10550.46,10848.13,1186083
2020-12-28,10980.42,11046.57,10732.37,10831.59,2313712
2020-12-29,10831.59,10881.2,10781.98,10881.2,955834
2020-12-30,10980.42,11079.64,10881.2,10914.27,12897145
2020-12-31,10848.13,10947.35,10715.83,10715.83,6211315
2021-01-04,10864.66,10980.42,10815.05,10914.27,2512386
2021-01-05,10914.27,11674.97,10914.27,11674.97,5692145
2021-01-06,11906.48,12154.53,11674.97,11691.5,4009524
2021-01-07,11674.96,11674.96,11443.45,11575.74,2750941
2021-01-08,11575.75,11741.11,11493.06,11493.06,3427598
2021-01-11,11575.75,11575.75,11377.3,11393.84,2683540
2021-01-12,11278.08,11542.67,11278.08,11393.84,1605928
2021-01-13,11542.67,11641.89,11459.99,11476.52,2792602
